verse_id,volume_title,verse_title,word_count,verse_count
1,"Old Testament","Genesis 1",797,31
32,"Old Testament","Genesis 2",632,25
57,"Old Testament","Genesis 3",695,24
81,"Old Testament","Genesis 4",632,26
107,"Old Testament","Genesis 5",505,32
139,"Old Testament","Genesis 6",579,22
161,"Old Testament","Genesis 7",584,24
185,"Old Testament","Genesis 8",586,22
207,"Old Testament","Genesis 9",658,29
236,"Old Testament","Genesis 10",495,32
268,"Old Testament","Genesis 11",606,32
300,"Old Testament","Genesis 12",536,20
320,"Old Testament","Genesis 13",457,18
338,"Old Testament","Genesis 14",606,24
362,"Old Testament","Genesis 15",471,21
383,"Old Testament","Genesis 16",412,16
399,"Old Testament","Genesis 17",679,27
426,"Old Testament","Genesis 18",867,33
459,"Old Testament","Genesis 19",1108,38
497,"Old Testament","Genesis 20",498,18
515,"Old Testament","Genesis 21",774,34
549,"Old Testament","Genesis 22",629,24
573,"Old Testament","Genesis 23",539,20
593,"Old Testament","Genesis 24",1816,67
660,"Old Testament","Genesis 25",706,34
694,"Old Testament","Genesis 26",889,35
729,"Old Testament","Genesis 27",1262,46
775,"Old Testament","Genesis 28",621,22
797,"Old Testament","Genesis 29",830,35
832,"Old Testament","Genesis 30",1022,43
875,"Old Testament","Genesis 31",1417,55
930,"Old Testament","Genesis 32",794,32
962,"Old Testament","Genesis 33",508,20
982,"Old Testament","Genesis 34",790,31
1013,"Old Testament","Genesis 35",664,29
1042,"Old Testament","Genesis 36",845,43
1085,"Old Testament","Genesis 37",942,36
1121,"Old Testament","Genesis 38",819,30
1151,"Old Testament","Genesis 39",666,23
1174,"Old Testament","Genesis 40",580,23
1197,"Old Testament","Genesis 41",1404,57
1254,"Old Testament","Genesis 42",977,38
1292,"Old Testament","Genesis 43",938,34
1326,"Old Testament","Genesis 44",874,34
1360,"Old Testament","Genesis 45",731,28
1388,"Old Testament","Genesis 46",766,34
1422,"Old Testament","Genesis 47",965,31
1453,"Old Testament","Genesis 48",639,22
1475,"Old Testament","Genesis 49",766,33
1508,"Old Testament","Genesis 50",687,26
1534,"Old Testament","Exodus 1",457,22
1556,"Old Testament","Exodus 2",657,25
1581,"Old Testament","Exodus 3",791,22
1603,"Old Testament","Exodus 4",891,31
1634,"Old Testament","Exodus 5",594,23
1657,"Old Testament","Exodus 6",753,30
1687,"Old Testament","Exodus 7",692,25
1712,"Old Testament","Exodus 8",936,32
1744,"Old Testament","Exodus 9",982,35
1779,"Old Testament","Exodus 10",899,29
1808,"Old Testament","Exodus 11",324,10
1818,"Old Testament","Exodus 12",1493,51
1869,"Old Testament","Exodus 13",675,22
1891,"Old Testament","Exodus 14",931,31
1922,"Old Testament","Exodus 15",713,27
1949,"Old Testament","Exodus 16",1062,36
1985,"Old Testament","Exodus 17",465,16
2001,"Old Testament","Exodus 18",760,27
2028,"Old Testament","Exodus 19",702,25
2053,"Old Testament","Exodus 20",561,26
2079,"Old Testament","Exodus 21",893,36
2115,"Old Testament","Exodus 22",790,31
2146,"Old Testament","Exodus 23",828,33
2179,"Old Testament","Exodus 24",492,18
2197,"Old Testament","Exodus 25",926,40
2237,"Old Testament","Exodus 26",937,37
2274,"Old Testament","Exodus 27",558,21
2295,"Old Testament","Exodus 28",1235,43
2338,"Old Testament","Exodus 29",1341,46
2384,"Old Testament","Exodus 30",970,38
2422,"Old Testament","Exodus 31",438,18
2440,"Old Testament","Exodus 32",1093,35
2475,"Old Testament","Exodus 33",710,23
2498,"Old Testament","Exodus 34",1004,35
2533,"Old Testament","Exodus 35",820,35
2568,"Old Testament","Exodus 36",892,38
2606,"Old Testament","Exodus 37",738,29
2635,"Old Testament","Exodus 38",832,31
2666,"Old Testament","Exodus 39",1030,43
2709,"Old Testament","Exodus 40",821,38
2747,"Old Testament","Leviticus 1",525,17
2764,"Old Testament","Leviticus 2",486,16
2780,"Old Testament","Leviticus 3",511,17
2797,"Old Testament","Leviticus 4",1157,35
2832,"Old Testament","Leviticus 5",723,19
2851,"Old Testament","Leviticus 6",892,30
2881,"Old Testament","Leviticus 7",1056,38
2919,"Old Testament","Leviticus 8",988,36
2955,"Old Testament","Leviticus 9",624,24
2979,"Old Testament","Leviticus 10",628,20
2999,"Old Testament","Leviticus 11",1115,47
3046,"Old Testament","Leviticus 12",262,8
3054,"Old Testament","Leviticus 13",1857,59
3113,"Old Testament","Leviticus 14",1713,57
3170,"Old Testament","Leviticus 15",919,33
3203,"Old Testament","Leviticus 16",1157,34
3237,"Old Testament","Leviticus 17",553,16
3253,"Old Testament","Leviticus 18",667,30
3283,"Old Testament","Leviticus 19",898,37
3320,"Old Testament","Leviticus 20",836,27
3347,"Old Testament","Leviticus 21",587,24
3371,"Old Testament","Leviticus 22",879,33
3404,"Old Testament","Leviticus 23",1222,44
3448,"Old Testament","Leviticus 24",551,23
3471,"Old Testament","Leviticus 25",1532,55
3526,"Old Testament","Leviticus 26",1247,46
3572,"Old Testament","Leviticus 27",956,34
3606,"Old Testament","Numbers 1",1333,54
3660,"Old Testament","Numbers 2",828,34
3694,"Old Testament","Numbers 3",1291,51
3745,"Old Testament","Numbers 4",1416,49
3794,"Old Testament","Numbers 5",898,31
3825,"Old Testament","Numbers 6",742,27
3852,"Old Testament","Numbers 7",1939,89
3941,"Old Testament","Numbers 8",687,26
3967,"Old Testament","Numbers 9",722,23
3990,"Old Testament","Numbers 10",891,36
4026,"Old Testament","Numbers 11",1056,35
4061,"Old Testament","Numbers 12",384,16
4077,"Old Testament","Numbers 13",741,33
4110,"Old Testament","Numbers 14",1181,45
4155,"Old Testament","Numbers 15",1068,41
4196,"Old Testament","Numbers 16",1341,50
4246,"Old Testament","Numbers 17",335,13
4259,"Old Testament","Numbers 18",1112,32
4291,"Old Testament","Numbers 19",683,22
4313,"Old Testament","Numbers 20",792,29
4342,"Old Testament","Numbers 21",931,35
4377,"Old Testament","Numbers 22",1201,41
4418,"Old Testament","Numbers 23",743,30
4448,"Old Testament","Numbers 24",659,25
4473,"Old Testament","Numbers 25",445,18
4491,"Old Testament","Numbers 26",1446,65
4556,"Old Testament","Numbers 27",610,23
4579,"Old Testament","Numbers 28",779,31
4610,"Old Testament","Numbers 29",954,40
4650,"Old Testament","Numbers 30",503,16
4666,"Old Testament","Numbers 31",1208,54
4720,"Old Testament","Numbers 32",1009,42
4762,"Old Testament","Numbers 33",928,56
4818,"Old Testament","Numbers 34",630,29
4847,"Old Testament","Numbers 35",965,34
4881,"Old Testament","Numbers 36",445,13
4894,"Old Testament","Deuteronomy 1",1262,46
4940,"Old Testament","Deuteronomy 2",1021,37
4977,"Old Testament","Deuteronomy 3",815,29
5006,"Old Testament","Deuteronomy 4",1503,49
5055,"Old Testament","Deuteronomy 5",921,33
5088,"Old Testament","Deuteronomy 6",643,25
5113,"Old Testament","Deuteronomy 7",843,26
5139,"Old Testament","Deuteronomy 8",566,20
5159,"Old Testament","Deuteronomy 9",963,29
5188,"Old Testament","Deuteronomy 10",604,22
5210,"Old Testament","Deuteronomy 11",950,32
5242,"Old Testament","Deuteronomy 12",1055,32
5274,"Old Testament","Deuteronomy 13",627,18
5292,"Old Testament","Deuteronomy 14",708,29
5321,"Old Testament","Deuteronomy 15",707,23
5344,"Old Testament","Deuteronomy 16",710,22
5366,"Old Testament","Deuteronomy 17",707,20
5386,"Old Testament","Deuteronomy 18",611,22
5408,"Old Testament","Deuteronomy 19",608,21
5429,"Old Testament","Deuteronomy 20",646,20
5449,"Old Testament","Deuteronomy 21",731,23
5472,"Old Testament","Deuteronomy 22",894,30
5502,"Old Testament","Deuteronomy 23",685,25
5527,"Old Testament","Deuteronomy 24",681,22
5549,"Old Testament","Deuteronomy 25",562,19
5568,"Old Testament","Deuteronomy 26",667,19
5587,"Old Testament","Deuteronomy 27",599,26
5613,"Old Testament","Deuteronomy 28",2075,68
5681,"Old Testament","Deuteronomy 29",851,29
5710,"Old Testament","Deuteronomy 30",665,20
5730,"Old Testament","Deuteronomy 31",1041,30
5760,"Old Testament","Deuteronomy 32",1306,52
5812,"Old Testament","Deuteronomy 33",805,29
5841,"Old Testament","Deuteronomy 34",320,12
5853,"Old Testament","Joshua 1",573,18
5871,"Old Testament","Joshua 2",768,24
5895,"Old Testament","Joshua 3",566,17
5912,"Old Testament","Joshua 4",707,24
5936,"Old Testament","Joshua 5",550,15
5951,"Old Testament","Joshua 6",904,27
5978,"Old Testament","Joshua 7",927,26
6004,"Old Testament","Joshua 8",1222,35
6039,"Old Testament","Joshua 9",800,27
6066,"Old Testament","Joshua 10",1393,43
6109,"Old Testament","Joshua 11",717,23
